t(s),V(v)
0.0,19.70338085780289
0.14285714285714285,18.71630795466435
0.2857142857142857,18.059891554981228
0.42857142857142855,15.697477738000632
0.5714285714285714,15.027950912617802
0.7142857142857142,13.844269796190254
0.8571428571428571,13.523326125815794
1.0,12.18844858006927
1.1428571428571428,11.614690028967255
1.2857142857142856,10.535799637387072
1.4285714285714284,8.957444147661532
1.5714285714285714,9.187710322835516
1.7142857142857142,8.415145011206954
1.857142857142857,7.678521071985927
2.0,6.8555446118691785
2.142857142857143,6.7720441179410225
2.2857142857142856,6.598388879952256
2.4285714285714284,6.137078322202383
2.571428571428571,6.0059891657649676
2.714285714285714,4.307668260969023
2.8571428571428568,4.911632153293157
3.0,4.511950891804342
3.142857142857143,4.6150802681712975
3.2857142857142856,3.7434945476824795
3.4285714285714284,3.5160535997334943
3.571428571428571,3.549613143860469
3.714285714285714,3.4759198477154998
3.8571428571428568,3.0660714810599696
4.0,2.701866251079582
4.142857142857142,2.843060255471839
4.285714285714286,2.050810761467682
4.428571428571428,2.3304094976087475
4.571428571428571,2.70941018780285
4.714285714285714,1.7396044205233399
4.857142857142857,1.4416280106517894
5.0,1.5867299026292518
5.142857142857142,1.4744631207104286
5.285714285714286,1.669067495954192
5.428571428571428,0.6111906180156996
5.571428571428571,1.5133471741252915
5.7142857142857135,1.1492774555656227
5.857142857142857,0.9886277046126342
6.0,1.31477786053034
6.142857142857142,1.2862325647888848
6.285714285714286,1.3085499039406645
6.428571428571428,0.8565035397919233
6.571428571428571,1.0589917039974306
6.7142857142857135,0.7579037320595543
6.857142857142857,0.8434870155729958
7.0,0.2577460233593974
