x,f
0.0,0.11753704539964993
0.02631578947368421,0.19026211019049677
0.05263157894736842,0.3735527749336317
0.07894736842105263,1.7116130893578692
0.10526315789473684,1.8907110060231997
0.13157894736842105,2.8343743174194853
0.15789473684210525,3.2698206956462377
0.18421052631578946,3.596119749897939
0.21052631578947367,3.410189432081246
0.23684210526315788,5.699910051909528
0.2631578947368421,6.108272346749901
0.2894736842105263,4.67520154319512
0.3157894736842105,5.261279106180169
0.3421052631578947,5.506192658404988
0.3684210526315789,7.417506249994972
0.39473684210526316,6.723583994290154
0.42105263157894735,7.980218025855942
0.4473684210526315,9.061482214825826
0.47368421052631576,9.677416466167664
0.5,9.813054039322001
