T(c),R(ohms)
60.0,318.64896645974204
60.689655172413794,313.2501862500578
61.37931034482759,325.17469912238636
62.06896551724138,338.207711590821
62.758620689655174,336.14215085385734
63.44827586206897,348.6311598336497
64.13793103448276,367.02918215250423
64.82758620689656,379.150607162521
65.51724137931035,386.69239462185186
66.20689655172414,373.20865869277367
66.89655172413794,399.21866532554935
67.58620689655173,428.9601794532728
68.27586206896552,419.62654014876716
68.96551724137932,444.1477107428564
69.65517241379311,442.06170833123855
70.34482758620689,458.77234846449437
71.0344827586207,477.34720728340744
71.72413793103448,466.6104190468414
72.41379310344828,481.47582132152905
73.10344827586206,482.4985740303576
73.79310344827586,503.56107989847783
74.48275862068965,527.7304132214451
75.17241379310344,524.3097630266219
75.86206896551724,534.2825531178806
76.55172413793103,545.4210571933961
77.24137931034483,563.472026204666
77.93103448275862,587.8659685495627
78.62068965517241,601.3922708979293
79.3103448275862,582.121505152985
80.0,606.5568747074768
